asset_barcode,asset_location,asset_department,asset_quantity,asset_description,asset_acquired_date,acquisition_cost,eul,accumulated_deprecitation,net_book_value
*CE000168*,MAIN BUILDING,L10,1,Printer (EPSON LQ2180),5/31/1997,"37,500.00",5,"37,499.00",1
*CE001285*,MAIN BUILDING,L10,1,7pcs. Windows 10 Professional  64 Bit License (Software),4/11/2023,"25,000.00",5,"2,083.25","22,916.75"
